state,city,total_gross,n_films,weighted_early_share,timing_class
Victoria (inc TAS),West Melbourne,472659604.0,98.0,0.8792306799292288,SLOW_BURN
New South Wales (inc ACT),West and Blue Mountains,312664355.0,93.0,0.8733972057671876,SLOW_BURN
Victoria (inc TAS),South East Melbourne,295432104.0,97.0,0.9097306635300543,BALANCED
New South Wales (inc ACT),Parramatta & Ryde,232734954.0,96.0,0.9154563993855431,BALANCED
Queensland,Brisbane - South,168360680.0,97.0,0.9321118268232226,BALANCED
Western Australia,Perth - South East,147833204.0,78.0,0.9433490665601755,BALANCED
New South Wales (inc ACT),South West Sydney,123602361.0,97.0,0.9126571700357731,BALANCED
Victoria (inc TAS),Central Inner Melbourne,120159443.0,77.0,0.9425637484021959,BALANCED
Victoria (inc TAS),North East Melbourne,100476114.0,89.0,0.916655325662774,BALANCED
South Australia,Adelaide - West,100301967.0,89.0,0.9617251673638664,BALANCED
Victoria (inc TAS),Outer East Melbourne,92653469.0,98.0,0.9026786466030754,SLOW_BURN
South Australia,Adelaide - North,91356087.0,64.0,0.906739766557646,SLOW_BURN
Western Australia,Perth - North West,87633629.0,83.0,0.9184613591661256,BALANCED
New South Wales (inc ACT),Canberra,83153429.0,85.0,0.9607516846960094,BALANCED
Queensland,Brisbane - North,63002340.0,88.0,0.9527181371358587,BALANCED
New South Wales (inc ACT),Inner West,55499617.0,64.0,0.8883849955216808,SLOW_BURN
Victoria (inc TAS),North West Melbourne,49773664.0,87.0,0.9350231680753902,BALANCED
New South Wales (inc ACT),Hills & Hawkesbury,46807582.0,57.0,0.893891250353415,SLOW_BURN
Western Australia,Perth - North East,39177491.0,59.0,0.9068719842217563,SLOW_BURN
South Australia,Adelaide - South,37662743.0,98.0,0.9219994146469894,BALANCED
New South Wales (inc ACT),North Sydney - Hornsby,32100077.0,66.0,0.8719129863769486,SLOW_BURN
New South Wales (inc ACT),Sutherland & St George,27789339.0,30.0,0.8964416174130662,SLOW_BURN
Queensland,Ipswich Region,27396432.0,71.0,0.9626323968026201,BALANCED
Queensland,Gold Coast,24418623.0,75.0,0.9672100265440848,EARLY_ADOPTER
Northern Territory,Darwin,20797047.0,89.0,0.96284357101275,EARLY_ADOPTER
Queensland,Brisbane - West,20579706.0,76.0,0.9403150365704933,BALANCED
New South Wales (inc ACT),Newcastle and Lake Macquarie,19571350.0,76.0,0.9573537339018514,BALANCED
Victoria (inc TAS),Hobart,17722491.0,96.0,0.9552744024527929,BALANCED
Victoria (inc TAS),Geelong,15235484.0,86.0,0.9843528436641724,EARLY_ADOPTER
Western Australia,Perth - South West,12453171.0,54.0,0.9866768070558093,EARLY_ADOPTER
New South Wales (inc ACT),Murray and Riverina,11743403.0,63.0,0.9758243841244314,EARLY_ADOPTER
New South Wales (inc ACT),Illawarra,11224255.0,37.0,0.9873136346243024,EARLY_ADOPTER
New South Wales (inc ACT),City and Inner South,10411109.0,21.0,0.9673329709639963,EARLY_ADOPTER
Queensland,Cairns Region,10218861.0,79.0,0.9941679410259128,EARLY_ADOPTER
Victoria (inc TAS),Inner South Melbourne,9850911.0,50.0,0.9593468055898586,BALANCED
Victoria (inc TAS),Mornington Peninsula,9349456.0,32.0,0.9850127108999711,EARLY_ADOPTER
